gen,,
shape,0,-9699220,line,255,1,10,5,5,
pt,0,408,52,
pt,1,554,239,
pt,2,449,306,
pt,3,318,437,
pt,4,267,311,
pt,5,49,336,
pt,6,100,99,
pt,7,183,177,
pt,8,251,153,
pt,9,280,102,
pt,10,320,153,
pt,11,443,181,
shape,1,-5635926,Shape_1,255,0,10,5,5,
pt,0,407,51,
pt,1,553,238,
pt,2,448,305,
pt,3,317,436,
pt,4,266,310,
pt,5,48,335,
pt,6,99,98,
pt,7,182,176,
pt,8,250,152,
pt,9,279,101,
pt,10,319,152,
pt,11,442,180,
shape,2,-8388480,Shape_2,255,0,10,5,5,
pt,0,430,104,
pt,1,497,297,
pt,2,412,284,
pt,3,319,422,
pt,4,291,287,
pt,5,147,382,
pt,6,133,159,
pt,7,216,237,
pt,8,262,198,
pt,9,291,147,
pt,10,331,198,
pt,11,465,233,
shape,3,-32513,Shape_3,255,0,10,5,5,
pt,0,124,143,
pt,1,164,141,
pt,2,206,185,
pt,3,151,216,
pt,4,73,189,
pt,5,111,141,
