gen,,
shape,0,-16777088,hair,
pt,0,129,30,
pt,1,440,84,
pt,2,373,214,
pt,3,295,337,
pt,4,62,295,
pt,5,167,155,
shape,1,-6304261,head,
pt,0,264,215,
pt,1,359,133,
pt,2,348,311,
pt,3,294,336,
pt,4,153,344,
pt,5,167,198,
shape,2,-3021581,eyeR,
pt,0,229,247,
pt,1,269,238,
pt,2,287,287,
pt,3,251,296,
pt,4,231,297,
pt,5,202,271,
shape,3,-7745693,iris,
pt,0,239,260,
pt,1,276,259,
pt,2,265,283,
pt,3,252,290,
pt,4,228,299,
pt,5,213,272,
shape,4,-3021581,irisL,
pt,0,298,233,
pt,1,338,224,
pt,2,344,274,
pt,3,308,283,
pt,4,288,284,
pt,5,271,257,
shape,5,-7745693,irisR,
pt,0,301,248,
pt,1,338,247,
pt,2,321,269,
pt,3,308,276,
pt,4,284,285,
pt,5,275,260,
shape,6,-16767153,mouth,
pt,0,285,315,
pt,1,306,307,
pt,2,312,321,
pt,3,286,327,
pt,4,247,327,
pt,5,248,316,
