gen,,0.04,
shape,0,-2491416,Shape_3,255,0,10,5,5,
pt,0,226,124,
pt,1,253,115,
pt,2,273,171,
pt,3,236,178,
pt,4,208,180,
pt,5,197,135,
shape,1,-16760254,Shape_4,255,0,10,5,5,
pt,0,229,134,
pt,1,244,129,
pt,2,268,159,
pt,3,238,165,
pt,4,222,169,
pt,5,211,140,
shape,2,-16079976,Shape_0,255,0,10,5,5,
pt,0,310,307,
pt,1,482,280,
pt,2,266,359,
pt,3,167,364,
pt,4,125,369,
pt,5,255,239,
pt,6,163,207,
pt,7,74,183,
pt,8,85,17,
pt,9,228,120,
pt,10,231,213,
pt,11,534,252,
pt,12,304,280,
pt,13,258,282,
pt,14,278,314,
shape,3,-2491416,Shape_1,255,0,10,5,5,
pt,0,194,132,
pt,1,221,123,
pt,2,241,179,
pt,3,204,186,
pt,4,176,188,
pt,5,165,143,
shape,4,-16760254,Shape_2,255,0,10,5,5,
pt,0,200,147,
pt,1,215,142,
pt,2,239,172,
pt,3,209,178,
pt,4,193,182,
pt,5,182,153,
