gen,,
shape,0,-14787352,head_gloub,
pt,0,395,242,
pt,1,573,330,
pt,2,86,371,
pt,3,205,286,
pt,4,197,138,
pt,5,317,60,
shape,1,-1313796,eyeR_gloub,
pt,0,261,186,
pt,1,309,174,
pt,2,336,241,
pt,3,278,261,
pt,4,222,276,
pt,5,204,200,
shape,2,-1313796,eyeL_gloub,
pt,0,320,180,
pt,1,368,168,
pt,2,392,233,
pt,3,334,253,
pt,4,278,268,
pt,5,263,194,
shape,3,-16777216,iris_bloug,
pt,0,261,204,
pt,1,289,196,
pt,2,304,242,
pt,3,276,251,
pt,4,236,262,
pt,5,230,212,
shape,4,-16777216,irisL,
pt,0,327,197,
pt,1,355,189,
pt,2,364,232,
pt,3,336,241,
pt,4,296,252,
pt,5,296,205,
shape,5,-16760704,mouth,
pt,0,378,290,
pt,1,406,282,
pt,2,393,307,
pt,3,321,321,
pt,4,265,322,
pt,5,226,272,
pt,6,275,299,
pt,7,334,344,
pt,8,328,294,
